date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:15:57	6886/6886	---MCZ	200	added ('OK')	text/html	etag:W/%221ae6-sq4YsXqbzqIro109lqgdPQ%22	https://glacial-beyond-47926.herokuapp.com/	C:/My%20Web%20Sites/MI%20362%20Final/glacial-beyond-47926.herokuapp.com/index.html	(from )
10:15:57	96/96	---M--	200	added ('OK')	text/plain	etag:%22bd705ad92854abb81f100c82413b48db%22	https://glacial-beyond-47926.herokuapp.com/robots.txt		(from )
10:15:57	1086/1086	---MCZ	200	added ('OK')	image/x-icon	etag:%2256974e6b57c7bd51448c309915ca0d6c%22	https://glacial-beyond-47926.herokuapp.com/favicon.ico	C:/My%20Web%20Sites/MI%20362%20Final/glacial-beyond-47926.herokuapp.com/favicon.ico	(from https://glacial-beyond-47926.herokuapp.com/)
10:15:57	43033/43033	---MCZ	200	added ('OK')	text/css	etag:W/%22a819-153c76db890%22	https://glacial-beyond-47926.herokuapp.com/assets/css/screen.css?v=5819c83c84	C:/My%20Web%20Sites/MI%20362%20Final/glacial-beyond-47926.herokuapp.com/assets/css/screenb752.css	(from https://glacial-beyond-47926.herokuapp.com/)
10:15:57	186022/186022	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Apr%202016%2003:18:15%20GMT	https://scontent.xx.fbcdn.net/t31.0-8/12719586_1390452254317685_319841828847243145_o.jpg	C:/My%20Web%20Sites/MI%20362%20Final/scontent.xx.fbcdn.net/t31.0-8/12719586_1390452254317685_319841828847243145_o.jpg	(from https://glacial-beyond-47926.herokuapp.com/)
10:15:57	48534/48534	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20Sep%202015%2021:11:48%20GMT	https://scontent.xx.fbcdn.net/hphotos-xlt1/v/t1.0-9/11988472_1237269812969264_5417436997324563029_n.jpg?oh=1d3c3f63495459a119e1cc166c3bb0fe&oe=57A5C74C	C:/My%20Web%20Sites/MI%20362%20Final/scontent.xx.fbcdn.net/hphotos-xlt1/v/t1.0-9/11988472_1237269812969264_5417436997324563029_n040b.jpg	(from https://glacial-beyond-47926.herokuapp.com/)
10:15:58	97362/97362	---MCZ	200	added ('OK')	application/javascript	etag:W/%22569014b6-17c52%22	https://code.jquery.com/jquery-1.12.0.min.js	C:/My%20Web%20Sites/MI%20362%20Final/code.jquery.com/jquery-1.12.0.min.js	(from https://glacial-beyond-47926.herokuapp.com/)
10:15:58	5344/5344	---MCZ	200	added ('OK')	text/xml	etag:W/%2214e0-z7aqDj5FGC8iT41nV6f+Rw%22	https://glacial-beyond-47926.herokuapp.com/rss/	C:/My%20Web%20Sites/MI%20362%20Final/glacial-beyond-47926.herokuapp.com/rss/index.html	(from https://glacial-beyond-47926.herokuapp.com/)
10:15:58	2698/2698	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a8a-153c76db890%22	https://glacial-beyond-47926.herokuapp.com/assets/js/jquery.fitvids.js?v=5819c83c84	C:/My%20Web%20Sites/MI%20362%20Final/glacial-beyond-47926.herokuapp.com/assets/js/jquery.fitvidsb752.js	(from https://glacial-beyond-47926.herokuapp.com/)
10:15:58	7845/7845	---MCZ	200	added ('OK')	text/html	etag:W/%221ea5-1QJsJzUaSFgXW6ySVnnNwg%22	https://glacial-beyond-47926.herokuapp.com/road-trip/	C:/My%20Web%20Sites/MI%20362%20Final/glacial-beyond-47926.herokuapp.com/road-trip/index.html	(from https://glacial-beyond-47926.herokuapp.com/)
10:15:58	1705/1705	---MCZ	200	added ('OK')	application/javascript	etag:W/%226a9-153c76db890%22	https://glacial-beyond-47926.herokuapp.com/assets/js/index.js?v=5819c83c84	C:/My%20Web%20Sites/MI%20362%20Final/glacial-beyond-47926.herokuapp.com/assets/js/indexb752.js	(from https://glacial-beyond-47926.herokuapp.com/)
10:15:59	6123/6123	---MCZ	200	added ('OK')	text/html	etag:W/%2217eb-neMIbCJJYt31lTRcl9Td3Q%22	https://glacial-beyond-47926.herokuapp.com/author/alec/	C:/My%20Web%20Sites/MI%20362%20Final/glacial-beyond-47926.herokuapp.com/author/alec/index.html	(from https://glacial-beyond-47926.herokuapp.com/)
10:15:59	2660/2660	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22a64-153c76db890%22	https://glacial-beyond-47926.herokuapp.com/assets/fonts/casper-icons.eot?v=1	C:/My%20Web%20Sites/MI%20362%20Final/glacial-beyond-47926.herokuapp.com/assets/fonts/casper-icons3860.eot	(from https://glacial-beyond-47926.herokuapp.com/assets/css/screen.css?v=5819c83c84)
10:15:59	2580/2580	---M--	200	added ('OK')	application/font-woff	etag:W/%22a14-153c76db890%22	https://glacial-beyond-47926.herokuapp.com/assets/fonts/casper-icons.woff?v=1	C:/My%20Web%20Sites/MI%20362%20Final/glacial-beyond-47926.herokuapp.com/assets/fonts/casper-icons3860.woff	(from https://glacial-beyond-47926.herokuapp.com/assets/css/screen.css?v=5819c83c84)
10:15:59	8440/8440	---MCZ	200	added ('OK')	text/html	etag:W/%2220f8-EtN+IejZ6zmm5v3CZAm2XA%22	https://glacial-beyond-47926.herokuapp.com/housing-adventure/	C:/My%20Web%20Sites/MI%20362%20Final/glacial-beyond-47926.herokuapp.com/housing-adventure/index.html	(from https://glacial-beyond-47926.herokuapp.com/)
10:15:59	2504/2504	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%229c8-153c76db890%22	https://glacial-beyond-47926.herokuapp.com/assets/fonts/casper-icons.ttf?v=1	C:/My%20Web%20Sites/MI%20362%20Final/glacial-beyond-47926.herokuapp.com/assets/fonts/casper-icons3860.ttf	(from https://glacial-beyond-47926.herokuapp.com/assets/css/screen.css?v=5819c83c84)
10:16:00	6279/6279	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221887-153c76db890%22	https://glacial-beyond-47926.herokuapp.com/assets/fonts/casper-icons.svg?v=1	C:/My%20Web%20Sites/MI%20362%20Final/glacial-beyond-47926.herokuapp.com/assets/fonts/casper-icons3860.svg	(from https://glacial-beyond-47926.herokuapp.com/assets/css/screen.css?v=5819c83c84)
